text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
"Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit they took at Crooked H. Anna Wintour, who was all set to be Amb to Court of St James’s &amp; a big fundraiser for CH, is beside herself in grief &amp; begging for forgiveness!",Thu Dec 28 15:24:53 +0000 2017,Twitter for iPhone,False,14587,,Thu Dec 28 15:24:53 +0000 2017
"“Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn",Thu Dec 28 02:46:30 +0000 2017,Twitter for iPhone,False,21183,,Thu Dec 28 02:46:30 +0000 2017
"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military est the remaining 1,000 or so fighters occupy roughly 1,900 square miles..” @jamiejmcintyre @dcexaminer https://t.co/OgYEuDgzD2",Thu Dec 28 02:09:22 +0000 2017,Twitter for iPhone,False,19706,,Thu Dec 28 02:09:22 +0000 2017
"Just left West Palm Beach Fire &amp; Rescue #2. Met with great men and women as representatives of those who do so much for all of us. Firefighters, paramedics, first responders - what amazing people they are!",Wed Dec 27 23:11:13 +0000 2017,Twitter for iPhone,False,18464,,Wed Dec 27 23:11:13 +0000 2017
"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military estimates the remaining 1,000 or so fighters occupy roughly 1,900 square miles...” via @jamiejmcintyre https://t.co/0lXKMUoPE9",Wed Dec 27 22:49:30 +0000 2017,Twitter for iPhone,False,12128,,Wed Dec 27 22:49:30 +0000 2017
"All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",Tue Dec 26 22:17:14 +0000 2017,Twitter for iPhone,False,25344,,Tue Dec 26 22:17:14 +0000 2017
"WOW, @foxandfrlends  “Dossier is bogus. Clinton Campaign, DNC funded Dossier. FBI CANNOT (after all of this time) VERIFY CLAIMS IN DOSSIER OF RUSSIA/TRUMP COLLUSION. FBI TAINTED.” And they used this Crooked Hillary pile of garbage as the basis for going after the Trump Campaign!",Tue Dec 26 13:24:27 +0000 2017,Twitter for iPhone,False,35628,,Tue Dec 26 13:24:27 +0000 2017
"Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill, which essentially Repeals (over time) ObamaCare, the Democrats &amp; Republicans will eventually come together and develop a great new HealthCare plan!",Tue Dec 26 11:58:42 +0000 2017,Twitter for iPhone,False,20656,,Tue Dec 26 11:58:42 +0000 2017
"I hope everyone is having a great Christmas, then tomorrow it’s back to work in order to Make America Great Again (which is happening faster than anyone anticipated)!",Mon Dec 25 23:33:55 +0000 2017,Twitter for iPhone,False,34926,,Mon Dec 25 23:33:55 +0000 2017
RT @EricTrump: We should all take a moment to say a prayer for those who paid the ultimate price  — Their bravery and sacrifice allows us t…,Mon Dec 25 23:28:51 +0000 2017,Twitter for iPhone,True,23614,,Mon Dec 25 23:28:51 +0000 2017
MERRY CHRISTMAS!!! https://t.co/mYtV5GNdLl,Mon Dec 25 13:36:51 +0000 2017,Twitter for iPhone,False,49883,,Mon Dec 25 13:36:51 +0000 2017
MERRY CHRISTMAS!! https://t.co/xa2qxcisVV,Mon Dec 25 03:51:52 +0000 2017,Twitter for iPhone,False,34038,,Mon Dec 25 03:51:52 +0000 2017
People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our cherished and beautiful phrase. MERRY CHRISTMAS!!!!!,Mon Dec 25 02:56:19 +0000 2017,Twitter for iPhone,False,55103,,Mon Dec 25 02:56:19 +0000 2017
"The Tax Cut/Reform Bill, including Massive Alaska Drilling and the Repeal of the highly unpopular Individual Mandate, brought it all together as to what an incredible year we had. Don’t let the Fake News convince you otherwise...and our insider Polls are strong!",Sun Dec 24 20:35:26 +0000 2017,Twitter for iPhone,False,23221,,Sun Dec 24 20:35:26 +0000 2017
"The Fake News refuses to talk about how Big and how Strong our BASE is. They show Fake Polls just like they report Fake News. Despite only negative reporting, we are doing well - nobody is going to beat us. MAKE AMERICA GREAT AGAIN!",Sun Dec 24 13:48:11 +0000 2017,Twitter for iPhone,False,33220,,Sun Dec 24 13:48:11 +0000 2017
RT @shawgerald4: @realDonaldTrump Thank you President TRUMP!! https://t.co/LKdkT0FL99,Sun Dec 24 12:31:48 +0000 2017,Twitter for iPhone,True,11846,,Sun Dec 24 12:31:48 +0000 2017
".@FoxNews-FBI’s Andrew McCabe, “in addition to his wife getting all of this money from M (Clinton Puppet), he was using, allegedly, his FBI Official Email Account to promote her campaign. You obviously cannot do this. These were the people who were investigating Hillary Clinton.”",Sun Dec 24 12:25:22 +0000 2017,Twitter for iPhone,False,29754,,Sun Dec 24 12:25:22 +0000 2017
"Remember, the Republicans are 5-0 in Congressional races this year. In Senate, I said Roy M would lose in Alabama and supported Big Luther Strange - and Roy lost. Virginia candidate was not a “Trumper,” and he lost.  Good Republican candidates will win BIG!",Sat Dec 23 22:57:50 +0000 2017,Twitter for iPhone,False,16929,,Sat Dec 23 22:57:50 +0000 2017
"The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!",Sat Dec 23 22:44:45 +0000 2017,Twitter for iPhone,False,22728,,Sat Dec 23 22:44:45 +0000 2017
"Wow, “FBI lawyer James Baker reassigned,” according to @FoxNews.",Sat Dec 23 20:32:42 +0000 2017,Twitter for iPhone,False,16794,,Sat Dec 23 20:32:42 +0000 2017
FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!,Sat Dec 23 20:30:06 +0000 2017,Twitter for iPhone,False,20991,,Sat Dec 23 20:30:06 +0000 2017
"How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin’ James Comey, of the Phony Hillary Clinton investigation (including her 33,000 illegally deleted emails) be given $700,000 for wife’s campaign by Clinton Puppets during investigation?",Sat Dec 23 20:27:05 +0000 2017,Twitter for iPhone,False,36175,,Sat Dec 23 20:27:05 +0000 2017
RT @EricTrump: #JournalismIsDead  https://t.co/xZaJD5ADb7,Sat Dec 23 20:03:39 +0000 2017,Twitter for iPhone,True,21224,,Sat Dec 23 20:03:39 +0000 2017
"Remember, the most hated part of ObamaCare is the Individual Mandate, which is being terminated under our just signed Tax Cut Bill.",Fri Dec 22 22:11:56 +0000 2017,Twitter for iPhone,False,25757,,Fri Dec 22 22:11:56 +0000 2017
"Today, it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks: https://t.co/kMxoxEB68G https://t.co/OeAoA0sLfx",Fri Dec 22 20:47:43 +0000 2017,Media Studio,False,15999,,Fri Dec 22 20:47:43 +0000 2017
"The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace, not Death!",Fri Dec 22 20:47:15 +0000 2017,Twitter for iPhone,False,19186,,Fri Dec 22 20:47:15 +0000 2017
